categoria,ordem,isbn,titulo,autor,editora,cover_url,origem_url
Bravo 100 Essenciais Brasileiros,37,,Avalovara,Osman Lins,,,
Bravo 100 Essenciais Brasileiros,38,,Vestido de Noiva,Nelson Rodrigues,,,
Bravo 100 Essenciais Brasileiros,39,,"O Que é Isso, Companheiro?",Fernando Gabeira,,,
Bravo 100 Essenciais Brasileiros,40,,Claro Enigma,Carlos Drummond de Andrade,,,
Bravo 100 Essenciais Brasileiros,41,,Zero,Ignácio de Loyola Brandão,,,
Bravo 100 Essenciais Brasileiros,42,,Poema Sujo,Ferreira Gullar,,,
Bravo 100 Essenciais Brasileiros,43,,O Ateneu,Raul Pompéia,,,
Bravo 100 Essenciais Brasileiros,44,,Cartas chilenas,Tomás Antônio Gonzaga,,,
Bravo 100 Essenciais Brasileiros,45,,A Escrava Isaura,Bernardo Guimarães,,,
Bravo 100 Essenciais Brasileiros,46,,Viva o Povo Brasileiro,João Ubaldo Ribeiro,,,
Bravo 100 Essenciais Brasileiros,47,,Os ratos,Dyonelio Machado,,,
Bravo 100 Essenciais Brasileiros,48,,O Coronel e o Lobisomem,José Cândido de Carvalho,,,
Bravo 100 Essenciais Brasileiros,49,,Os Sertões,Euclides da Cunha,,,
Bravo 100 Essenciais Brasileiros,50,,Crônica da Casa Assassinada,Lúcio Cardoso,,,
Bravo 100 Essenciais Brasileiros,51,,A Coleira do Cão,Rubem Fonseca,,,
Bravo 100 Essenciais Brasileiros,52,,Inocência,Visconde de Taunay,,,
Bravo 100 Essenciais Brasileiros,53,,O Pagador de Promessas,Dias Gomes,,,
Bravo 100 Essenciais Brasileiros,54,,O Vampiro de Curitiba,Dalton Trevisan,,,
Bravo 100 Essenciais Brasileiros,55,,Romance D'A Pedra do Reino e O Príncipe do Sangue do Vai-e-Volta,Ariano Suassuna,,,
Bravo 100 Essenciais Brasileiros,56,,Nova Antologia Poética,Vinicius de Moraes,,,
Bravo 100 Essenciais Brasileiros,57,,Terras do Sem Fim,Jorge Amado,,,
Bravo 100 Essenciais Brasileiros,58,,O Analista de Bagé,Luis Fernando Verissimo,,,
Bravo 100 Essenciais Brasileiros,59,,Os Escravos,Castro Alves,,,
Bravo 100 Essenciais Brasileiros,60,,Mar absoluto e outros poemas,Cecília Meireles,,,
Bravo 100 Essenciais Brasileiros,61,,Bagagem,Adélia Prado,,,
Bravo 100 Essenciais Brasileiros,62,,Romanceiro Da Inconfidência,Cecília Meireles,,,
Bravo 100 Essenciais Brasileiros,63,,Paulicéia Desvairada,Mário de Andrade,,,
Bravo 100 Essenciais Brasileiros,64,,Nova Antologia Poética,Mario Quintana,,,
Bravo 100 Essenciais Brasileiros,65,,A Alma Encantadora das Ruas,João do Rio,,,
Bravo 100 Essenciais Brasileiros,66,,Estrela da Manhã,Manuel Bandeira,,,
Bravo 100 Essenciais Brasileiros,67,,Sermões,António Vieira,,,
Bravo 100 Essenciais Brasileiros,68,,Eu,Augusto dos Anjos,,,
Bravo 100 Essenciais Brasileiros,69,,O ex-mágico da Taberna Minhota,Murilo Rubião,,,
Bravo 100 Essenciais Brasileiros,70,,"Malagueta, Perus e Bacanaço",João Antônio,,,
Bravo 100 Essenciais Brasileiros,71,,Memórias sentimentais de João Miramar,Oswald de Andrade,,,
Bravo 100 Essenciais Brasileiros,72,,Espumas Flutuantes,Castro Alves,,,
Bravo 100 Essenciais Brasileiros,73,,Broquéis,João da Cruz e Sousa,,,
Bravo 100 Essenciais Brasileiros,74,,O braço direito,Otto Lara Resende,,,
Bravo 100 Essenciais Brasileiros,75,,Ópera dos Mortos,Autran Dourado,,,
Bravo 100 Essenciais Brasileiros,76,,O tronco,Bernardo Élis,,,
Melhor Literatura em Português,1,,Ensaio sobre a Cegueira,José Saramago,,,
Melhor Literatura em Português,2,,Memórias póstumas de Brás Cubas,Machado de Assis,,,
Melhor Literatura em Português,3,,Os Maias,Eça de Queirós,,,
Melhor Literatura em Português,4,,Livro do Desassossego,Fernando Pessoa,,,
Melhor Literatura em Português,5,,Dom Casmurro,Machado de Assis,,,
Melhor Literatura em Português,6,,Os Lusíadas,Luís de Camões,,,
Melhor Literatura em Português,7,,Memorial do Convento,José Saramago,,,
Melhor Literatura em Português,8,,Capitães da areia,Jorge Amado,,,
Melhor Literatura em Português,9,,Vidas Secas,Graciliano Ramos,,,
Melhor Literatura em Português,10,,Auto da Barca do Inferno,Gil Vicente,,,
Melhor Literatura em Português,11,,Mensagem,Fernando Pessoa,,,
Melhor Literatura em Português,12,,Grande Sertão: Veredas,João Guimarães Rosa,,,
Melhor Literatura em Português,13,,A Hora da Estrela,Clarice Lispector,,,
Melhor Literatura em Português,14,,O Alquimista,Paulo Coelho,,,
Melhor Literatura em Português,15,,O Evangelho Segundo Jesus Cristo,José Saramago,,,
Melhor Literatura em Português,16,,O alienista,Machado de Assis,,,
Melhor Literatura em Português,17,,A Cidade e as Serras,Eça de Queirós,,,
Melhor Literatura em Português,18,,O Primo Basílio,Eça de Queirós,,,
Melhor Literatura em Português,19,,As Intermitências da Morte,José Saramago,,,
Melhor Literatura em Português,20,,O Ano da Morte de Ricardo Reis,José Saramago,,,
Melhor Literatura em Português,21,,"Gabriela, Cravo e Canela",Jorge Amado,,,
Melhor Literatura em Português,22,,O Crime do Padre Amaro,Eça de Queirós,,,
Melhor Literatura em Português,23,,Poemas de Álvaro de Campos,Fernando Pessoa,,,
Melhor Literatura em Português,24,,Auto da Compadecida,Ariano Suassuna,,,
Melhor Literatura em Português,25,,Amor de Perdição,Camilo Castelo Branco,,,
Melhor Literatura em Português,26,,Viagens na Minha Terra,Almeida Garrett,,,
Melhor Literatura em Português,27,,O Cortiço,Aluísio Azevedo,,,
Melhor Literatura em Português,28,,Budapeste,Chico Buarque,,,
Melhor Literatura em Português,29,,Todos os Nomes,José Saramago,,,
Melhor Literatura em Português,30,,As Pupilas do Senhor Reitor,Júlio Dinis,,,
Melhor Literatura em Português,31,,Quincas Borba,Machado de Assis,,,
Melhor Literatura em Português,32,,A Menina do Mar,Sophia de Mello Breyner Andresen,,,
Melhor Literatura em Português,33,,A Lua de Joana,Maria Teresa Maia Gonzalez,,,
Melhor Literatura em Português,34,,Veronika Decide Morrer,Paulo Coelho,,,
Melhor Literatura em Português,35,,Frei Luís de Sousa,Almeida Garrett,,,
Melhor Literatura em Português,36,,Bichos,Miguel Torga,,,
Melhor Literatura em Português,37,,A Relíquia,Eça de Queirós,,,
Melhor Literatura em Português,38,,O Guardador de Rebanhos,Fernando Pessoa,,,
Melhor Literatura em Português,39,,Meu Pé de Laranja Lima,José Mauro de Vasconcelos,,,
Melhor Literatura em Português,40,,A Morgadinha dos Canaviais,Júlio Dinis,,,
Melhor Literatura em Português,41,,Dona Flor e Seus Dois Maridos,Jorge Amado,,,
Melhor Literatura em Português,42,,Ensaio sobre a Lucidez,José Saramago,,,
Melhor Literatura em Português,43,,Senhora,José de Alencar,,,
Melhor Literatura em Português,44,,A Queda dum Anjo,Camilo Castelo Branco,,,
Melhor Literatura em Português,45,,História do Cerco de Lisboa,José Saramago,,,
Melhor Literatura em Português,46,,O Gato Malhado e a Andorinha Sinhá,Jorge Amado,,,
Melhor Literatura em Português,47,,Morte e Vida Severina,João Cabral de Melo Neto,,,
Melhor Literatura em Português,48,,A Sibila,Agustina Bessa-Luís,,,
Melhor Literatura em Português,49,,O Livro de Cesário Verde,Cesário Verde,,,
Melhor Literatura em Português,50,,O Continente - Volume I,Erico Verissimo,,,
Melhor Literatura em Português,51,,Sermões,António Vieira,,,
Melhor Literatura em Português,52,,Manhã Submersa,Vergílio Ferreira,,,
Melhor Literatura em Português,53,,A Viagem do Elefante,José Saramago,,,
Melhor Literatura em Português,54,,Livro,José Luís Peixoto,,,
Melhor Literatura em Português,55,,Equador,Miguel Sousa Tavares,,,
Melhor Literatura em Português,56,,A Paixão Segundo G.H.,Clarice Lispector,,,
Melhor Literatura em Português,57,,Só,António Nobre,,,
Melhor Literatura em Português,58,,Memórias de um sargento de milícias,Manuel Antônio de Almeida,,,
Melhor Literatura em Português,59,,A Caverna,José Saramago,,,
Melhor Literatura em Português,60,,Os Cus de Judas,António Lobo Antunes,,,
Melhor Literatura em Português,61,,Poesia Lírica,Luís de Camões,,,
Melhor Literatura em Português,62,,Sagarana,João Guimarães Rosa,,,
Melhor Literatura em Português,63,,Uma Família Inglesa,Júlio Dinis,,,
Melhor Literatura em Português,64,,Cemitério de Pianos,José Luís Peixoto,,,
