categoria,ordem,isbn,titulo,autor,editora,cover_url,origem_url
Best Literature in Portuguese,103,,Os Cafés de Lisboa,Marina Tavares Dias,,,https://www.goodreads.com/book/show/16299076-os-caf-s-de-lisboa
Best Literature in Portuguese,104,,Brida,Paulo Coelho,,,https://www.goodreads.com/book/show/68591.Brida
Best Literature in Portuguese,105,,O Culto Do Chá,Wenceslau de Moraes,,,https://www.goodreads.com/book/show/9454839-o-culto-do-ch
Best Literature in Portuguese,106,,Estórias Abensonhadas,Mia Couto,,,https://www.goodreads.com/book/show/497858.Est_rias_Abensonhadas
Best Literature in Portuguese,107,,Incidente em Antares,Erico Verissimo,,,https://www.goodreads.com/book/show/2624112-incidente-em-antares
Best Literature in Portuguese,108,,Lisboa Misteriosa,Marina Tavares Dias,,,https://www.goodreads.com/book/show/15752952-lisboa-misteriosa
Best Literature in Portuguese,109,,O Retrato - Volume I,Erico Verissimo,,,https://www.goodreads.com/book/show/8033853-o-retrato---volume-i
Best Literature in Portuguese,110,,O Encontro Marcado,Fernando Sabino,,,https://www.goodreads.com/book/show/91174.O_Encontro_Marcado
Best Literature in Portuguese,111,,O Meu Irmão,Afonso Reis Cabral,,,https://www.goodreads.com/book/show/23517632-o-meu-irm-o
Best Literature in Portuguese,112,,Cinco Minutos,José de Alencar,,,https://www.goodreads.com/book/show/8316575-cinco-minutos
Best Literature in Portuguese,113,,Todos os Contos,Clarice Lispector,,,https://www.goodreads.com/book/show/30169196-todos-os-contos
Best Literature in Portuguese,114,,Helena,Machado de Assis,,,https://www.goodreads.com/book/show/909748.Helena
Best Literature in Portuguese,115,,"D.Estefânia, Um trágico amor",Sara Rodi,,,https://www.goodreads.com/book/show/15747932-d-estef-nia-um-tr-gico-amor
Best Literature in Portuguese,116,,Ficções do interlúdio,Fernando Pessoa,,,https://www.goodreads.com/book/show/6336749-fic-es-do-interl-dio
Best Literature in Portuguese,117,,Falar Verdade a Mentir,Almeida Garrett,,,https://www.goodreads.com/book/show/8062436-falar-verdade-a-mentir
Best Literature in Portuguese,118,,La Esclava Isaura,Bernardo Guimarães,,,https://www.goodreads.com/book/show/607112.La_Esclava_Isaura
Best Literature in Portuguese,119,,A Floresta,Sophia de Mello Breyner Andresen,,,https://www.goodreads.com/book/show/7011252-a-floresta
Best Literature in Portuguese,120,,Alves y Compañía,Eça de Queirós,,,https://www.goodreads.com/book/show/5263074-alves-y-compa-a
Best Literature in Portuguese,121,,"Goiânia, Rua 57 - O nuclear na terra do sol",Fernando Gabeira,,,https://www.goodreads.com/book/show/6697855-goi-nia-rua-57---o-nuclear-na-terra-do-sol
Best Literature in Portuguese,122,,Comédias da Vida Privada: 101 Crônicas Escolhidas,Luis Fernando Verissimo,,,https://www.goodreads.com/book/show/1272944.Com_dias_da_Vida_Privada
Best Literature in Portuguese,123,,Poesias Completas,Alexandre O'Neill,,,https://www.goodreads.com/book/show/4570613-poesias-completas
Best Literature in Portuguese,124,,Memorial de Maria Moura,Rachel de Queiroz,,,https://www.goodreads.com/book/show/1637401.Memorial_de_Maria_Moura
Best Literature in Portuguese,125,,Levantado do Chão,José Saramago,,,https://www.goodreads.com/book/show/6482682-raised-from-the-ground
Best Literature in Portuguese,126,,Os Pastores da Noite,Jorge Amado,,,https://www.goodreads.com/book/show/802468.Shepherds_of_the_Night
Best Literature in Portuguese,127,,Libro de sonetos/ Book of Sonnets (Veintiuno/ Twenty One) (Spanish Edition),Vinicius de Moraes,,,https://www.goodreads.com/book/show/905044.Libro_de_sonetos_Book_of_Sonnets_Veintiuno_Twenty_One_
Best Literature in Portuguese,128,,A Correspondência de Fradique Mendes: Memórias e Notas,Eça de Queirós,,,https://www.goodreads.com/book/show/2434950.A_Correspond_ncia_de_Fradique_Mendes
Best Literature in Portuguese,129,,A Ilustre Casa de Ramires,Eça de Queirós,,,https://www.goodreads.com/book/show/13061961-a-ilustre-casa-de-ramires
Best Literature in Portuguese,130,,Memórias sentimentais de João Miramar,Oswald de Andrade,,,https://www.goodreads.com/book/show/426363.Mem_rias_sentimentais_de_Jo_o_Miramar
Best Literature in Portuguese,131,,A Casa Quieta,Rodrigo Guedes de Carvalho,,,https://www.goodreads.com/book/show/3265363-a-casa-quieta
Best Literature in Portuguese,133,,Antología Poética,Vinicius de Moraes,,,https://www.goodreads.com/book/show/905033.Antolog_a_Po_tica
Best Literature in Portuguese,134,,Ciranda de Pedra,Lygia Fagundes Telles,,,https://www.goodreads.com/book/show/4991993-ciranda-de-pedra
Best Literature in Portuguese,135,,Casa de Pensão,Aluísio Azevedo,,,https://www.goodreads.com/book/show/6592098-casa-de-pens-o
Best Literature in Portuguese,136,,Sabará 18: romance na Minas colonial,Carlos Gentil Vieira,,,https://www.goodreads.com/book/show/14426812-sabar-18
Best Literature in Portuguese,138,,O Chão dos Pardais,Dulce Maria Cardoso,,,https://www.goodreads.com/book/show/11504611-o-ch-o-dos-pardais
Best Literature in Portuguese,139,,O corpo morto de deus,Giselda Laporta Nicolelis,,,https://www.goodreads.com/book/show/10663013-o-corpo-morto-de-deus
Best Literature in Portuguese,140,,Deste Lado,Carlos Esse,,,https://www.goodreads.com/book/show/17450888-deste-lado
Best Literature in Portuguese,141,,Emigrantes,Ferreira de Castro,,,https://www.goodreads.com/book/show/13022899-emigrantes
Best Literature in Portuguese,142,,Antologia da Poesia Portuguesa Contemporânea: um panorama,Alberto da Costa e Silva,,,https://www.goodreads.com/book/show/15784109-antologia-da-poesia-portuguesa-contempor-nea
